Name,Due Date,Link to search,Status,Industry,Company Size,Titles,Regions,,,,,,,,
Anlight (enthral),2026-03-12,,Done,"IT Services, Financial Services",500 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of L&D, VP of L&D, Director of L&D, CHRO",India,,,,,,,,
91 Social,2026-03-12,,Done,,,,,,,,,,,,
Techaroha,2026-03-12,,Done,"Financial Services, Banking, NBFC",11 to 50 employees,"CEO, Founder, Co-Founder, CTO, CIO, MD, Head of IT, VP of IT, Director of IT, Head of Technology, Director of Technology, VP of Technology, Head of Operations, Compliance Head, Risk Head, CIO","Hyderabad, Chennai, Gurugram, Bengaluru, Delhi, Ahmedabad, Pune, New Delhi, Noida",,,,,,,,
India International,2026-03-12,,Done,"Healthcare, Manufacturing",51 to 500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, CHRO, Head of HR, VP of HR, Director of HR",India,,,,,,,,
Mple,2026-03-12,,Done,"Banking, Hospitals, Medical Devices",200 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of L&D, VP of L&D, Director of L&D, Chief Learning Officer, CHRO, Business Unit Head, Business Unit Director","Chennai, Hyderabad, Bengaluru, Pune, Delhi, Noida, Gurugram",,,,,,,,
TalentBeacon RPO,2026-03-12,,Done,"SaaS, IT Services, IT Product Companies",11 to 500,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, Chief Talent Acquisition Officer, CHRO","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Epinomi,2026-03-12,,Done,Manufacturing,200 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of L&D, VP of L&D, Director of L&D, Chief Learning Officer, Head of HR, VP of HR, Director of HR, CHRO, Admin Heads, Procurement Head, Training Manager, Learning Manager",India,,,,,,,,
Dextralabs,2026-03-12,,Done,"Fintech, Healthtech, Real Estate",51 to 200 employees,"Director of Data, Head of Data, VP of Data, VP Engineering, Chief Product Officer, CEO, Founder, Co-Founder, Managing Director, Executive Director, CTO, CIO, COO, Head of Operations, VP of Operations, Director of Operations","South Africa, Finland, UK, Czech Republic",,,,,,,,
The ensemble,2026-03-12,,Done,"Consumer Goods, Real Estate, Automotive, Financial Services",200 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of Marketing, VP of Marketing, Director of Marketing, Chief Marketing Officer, Creative Director, Head of Branding, Chief Branding Officer, Chief Creative Officer, Head of Content",Mumbai,,,,,,,,
Phillip capital,2026-03-12,,Done,IT services,11 to 1000,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments",Mumbai,,,,,,,,
Notionmind,2026-03-12,,Done,"Fintech, HealthTech",200 to 500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, CTO, CIO, Head of Operations, VP of Operations, Director of Operations, Head of IT, VP of IT, Director of IT","Exclude Gujarat
Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida",,,,,,,,
Parsan,2026-03-12,,Done,"Oil & Energy, Environmental Services, Mining or metals, Renewables & Environment",51–500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CTO, CIO, COO, Chief Geologist, Head of Project, VP of Project, Director of Project, Head of Engineering, Director of Engineering, VP of Engineering","Malaysia, Indonesia, Vietnam, Thailand",,,,,,,,
Parsan (India),2026-03-12,,Done,"Oil & Energy, Environmental Services, Mining or metals, Renewables & Environment",51–500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, CTO, CIO, COO, Chief Geologist, Head of Project, VP of Project, Director of Project, Head of Engineering, Director of Engineering, VP of Engineering",India,,,,,,,,
Claw Legaltech,2026-03-12,,Done,"banking, financial services, investment banking",51 to 500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Partner, legal head, Chief Legal Officer, Legal Manager",India,,,,,,,,
Automation Teknix,2026-03-12,,Done,"Automotive, Mechanical & Industrial Engineering, Electrical Manufacturing",51 to 1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of QA, Vp of QA, Director of QA, Head of Product, VP of Product, Director of Product, Chief Product Officer",Pune,,,,,,,,
Aptocoiner,2026-03-12,,Done,"Hospitality, Retail, Mechanical & Industrial Engineering, Machinery, Industrial Automation, Electrical & Electronics Manufacturing, Automotive, Mining and Metals",51 to 1000,"CEO, Founder, Co-founder, CIO, CTO, Managing Director, Owner, Director of Business Intelligence, BI Director, Head of BI, VP of BI",India,,,,,,,,
Vesta,2026-03-12,,Done,"Airports, Aerospace, Airlines",1 to 10000,"COO, Head of Operations, VP of Operations, Director of Operations, Head of Facility Management, VP of Facility Management, Director of Facility Management, Head of Administration, VP of Administration, Director of Administration, Operations Manager, Administration Manager, Facilities Manager","Argentina, Chile, South Africa, Kenya, Ghana, United Arab Emirates, Qatar, Saudi Arabia, Turkey, Bahrain",,,,,,,,
Sensel,2026-03-12,,Done,"Logistics & Supply Chain, Warehousing, Shipping",11 to 1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, Head of Logistics, VP of Logistics, Director of Logistics, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing",India,,,,,,,,
Browserstack,2026-03-12,,Done,,,,,,,,,,,,
Vesta,2026-03-12,,Done,,,,,,,,,,,,
Sourcebuddy,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Tribyte,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Cliqvenus,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Soulilution,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
More4less,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Cliniops,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Gumtree,2026-03-12,Shared in sheet,Done,"Pharma, Food manufacturing, Hospitality, Restuarants, hotel",51 to 5000,"Head of Administration, VP of Administration, Director of Administration, Administration Manager, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing, Head of Customer Experience, VP of Customer Experience, Director of Customer Experience",India,,,,,,,,
UMU,2026-03-12,Shared in sheet,Done,"Consumer Goods, Financial Services, IT Services",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of HR, VP of HR, Director of HR, CHRO, Head of Learning, VP of Learning , Director of Learning, Chief Learning Officer",Canada,,,,,,,,
Yodaplus,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Reconzo,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Curota.ai,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Vastpro,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Floatinity,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Deevoir,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Maven Profcon,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Tinkerlabs,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Magnifia,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Intellytics Solutions,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Nhancesmart,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Veegent,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Verifygntech,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Bhavitech,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Black or grey,2026-03-12,,Done,,,,,,,,,,,,
Speedexam,2026-03-12,,Done,,,,,,,,,,,,
Weeloy,2026-03-12,,Done,,,,,,,,,,,,
Green collar,2026-03-12,,Done,,,,,,,,,,,,
MasterIndia,2026-03-12,,Done,,,,,,,,,,,,
No gap,2026-03-12,,Done,,,,,,,,,,,,
Vasundhara,2026-03-12,Shared in sheet,Done,,,,,,,,,,,,
Routed AI,2026-03-16,New Project,Done,"Staffing, IT Services, Human Resources",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of HR, VP of HR, Director of HR, Head of Recruitment, VP of Recruitment, Director of Recruitment, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition, Chief Talent Acquisition Officer, CHRO","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Shieldbyte (C-suit),2026-03-16,,Done,"Banking, Financial Services, Insurance",200 to 1000,"CEO, Founder, Co-Founder, Managing Director, Executive Director",India,,,,,,,,
Shieldbyte,2026-03-16,,Done,"Banking, Financial Services, Insurance",200 to 1000,"Head of Risk, VP of Risk, Director of Risk, Chief Risk Officer, Head of Compliance, Director of Compliance, Director of Compliance, Chief Compliance Officer, CISO, Head of Information Security, Director of Information Security, VP of Information Security, Risk Manager, Compliance Manager, IT Manager, Head of IT, VP of IT, Director of IT, CIO",India,,,,,,,,
NO gap,2026-03-16,,Done,"Food & Beverages, Food Production, Logistics & Supply Chain, Transportation",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",Bengaluru,,,,,,,,
TestAing,2026-03-16,,Done,"Financial Services, Banking, E-learning",51 to 200 employees,"CEO, Founder, Co-Founder, Executive Director, MD, CTO, CIO, Head of Engineering, VP of Engineering, Director of Engineering, Head of Operations, Vp of Operations, Director of Operations, COO",India,,,,,,,,
Magnifia,2026-03-16,,Done,"Retail, Food & Beverages",51 to 200 employees,"CFO, Finance Head, Finance Controller, Head of Finance, VP of Finance, Director of Finance COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",India,,,,,,,,
Phillip Capital,2026-03-16,,Done,,,,,,,,,,,,
Radiant Cash,2026-03-16,,Done,"Banking, Financial Services, Insurance, Retail, Construction, Transportation, Logistics",51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Treasury, VP of Treasury, Director of Treasury, Head of Finance, Director of Finance, VP of Finance, CFO, Finance Controller",India,,,,,,,,
Intellytics,2026-03-16,,Done,"Retail, Apparel and Fashion",51 to 200 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology",India,,,,,,,,
Gumtree,2026-03-16,,Done,"Restaurants, Hospitality",51 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Administration, VP of Administration, Director of Administration, Administration Manager, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing, Head of Customer Experience, VP of Customer Experience, Director of Customer Experience",India,,,,,,,,
VastPro,2026-03-16,,Done,"Retail, E-commerce, Apparel & Fashion",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, Head of eCommerce, Vp of eCommerce, Director of eCommerce, CMO, Head of Marketing, 
VP of Growth, Director of Growth, Chief Growth Officer",India,,,,,,,,
Phillip - PB,2026-03-16,https://app.apollo.io/#/people?sortByField=recommendations_score&sortAscending=false&recommendationConfigId=6971b750cec10d0001ea762b&page=9&uniqueUrlId=QbjXJKgPNU,Done,,,,,,,,,,,,
Black or Grey,2026-03-16,,Done,,,,,,,,,,,,
Mercury Air Conditioner,2026-03-16,,Done,"Hospitality, Education, Hospitals, Construction, Retail, IT Services, Warehousing, Logistics & Supply Chain",11 to 500 employees,"Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing, COO, Head of Operations, VP of Operations, Director of Operations",Maharashtra,,,,,,,,
Frontial,2026-03-16,,Done,"Logistics & Supply Chain,Transportation, Hospitality",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Operations Manager, IT Manager","South Africa, Australia",,,,,,,,
DBaas Now (Saas),2026-03-16,,Done,,,,,,,,,,,,
DBaas Now (Fintech),2026-03-16,,Done,,,,,,,,,,,,
Cliqvenus,2026-03-16,,Done,,,,,,,,,,,,
Curota.ai (Automotive),2026-03-16,,Done,Automotive,51 to 500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Data, VP of Data, Director of Data, Head of IT, VP of IT, Director of IT, CIO, CTO, Data Manager, IT Manager","South Africa, Kenya, Ghana, Mumbai, Bengaluru",,,,,,,,
Curota.ai (Healthcare),2026-03-16,,Done,Healthcare,51 to 500,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Head of Data, VP of Data, Director of Data, Head of IT, VP of IT, Director of IT, CIO, CTO, Data Manager, IT Manager","South Africa, Kenya, Ghana, Mumbai, Bengaluru",,,,,,,,
Bhavitech,2026-03-16,,Done,,,,,,,,,,,,
Falcron CS,2026-03-17,,Done,"Finance, Retail, education",11 to 500,"CEO, Owner, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments","India, Australia, Southafrica",,,,,,,,
Examonline,2026-03-17,,Done,"IT Services, GCC",11 to 200,"CEO, Founder, Co-founder, Managing Director, Executive Director, Principle, Dean, Head of Department, Head of Operations, Director of Operations, VP of Operations, Academic Head, Director of Academy, CHRO, Learning and Development Officer, Director of Human resource, Head of Human resource, VP of Human resource, VP of Recruitment, Head of Recruitment, Director of Recruitment Head of IT, Director of IT, VP of IT, CTO",India,,,,,,,,
Frontial (Capitatives),2026-03-17,,Done,"Logistics & Supply Chain,Transportation, Hospitality",500+,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, Operations Manager, IT Manager","HQ location - Exclude India
Person location - India",,,,,,,,
Enterprise Business,2026-03-17,,Done,retail,51 to 1000 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, CIO, Head of Operations, VP of Operations, Director of Operations, Head of Technology, VP of Technology, Director of Technology","Mauritius, UK, Ireland",,,,,,,,
GSSPEC,2026-03-17,,Done,"IT Services, Staffing, Human Resource",51 to 1000,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of Recruitment, VP of Recruitment, Director of Recruitment, Head of HR, VP of HR, Director of HR, CHRO, Chief Talent Acquisition Officer, Head of Talent Acquisition, VP of Talent Acquisition, Director of Talent Acquisition",India,,,,,,,,
UMU,2026-03-17,,Done,"Consumer Goods, Management Consulting, Human Resource",51 to 200 employees,"Head of Sales, VP of Sales, Director of Sales, CEO, Founder, Co-Founder, MD, Executive Director, Head of HR, VP of HR, Director of HR, CHRO, Head of Learning, VP of Learning , Director of Learning, Chief Learning Officer",Canada,,,,,,,,
Radiant cash - Wishlist,2026-03-17,https://app.apollo.io/#/people?sortByField=%5Bnone%5D&sortAscending=false&recommendationConfigId=6971b750cec10d0001ea762b&page=1&uniqueUrlId=cqzJ9dsk10,Done,,,,,,,,,,,,
Qubbit L&T,2026-03-17,https://app.apollo.io/#/people?contactEmailStatusV2%5B%5D=verified&contactEmailStatusV2%5B%5D=user_managed&personLocations%5B%5D=India&includedOrganizationKeywordFields%5B%5D=tags&includedOrganizationKeywordFields%5B%5D=name&sortByField=recommendations_score&sortAscending=false¬OrganizationIds%5B%5D=615dceed1729ba0001279d86&qOrganizationKeywordTags%5B%5D=hospitality&qOrganizationKeywordTags%5B%5D=retail&qOrganizationKeywordTags%5B%5D=logistics%20&%20supply%20chain&qOrganizationKeywordTags%5B%5D=financial%20services&qOrganizationKeywordTags%5B%5D=real%20estate&qOrganizationKeywordTags%5B%5D=pharmaceutical%20manufacturing&qOrganizationKeywordTags%5B%5D=education&qOrganizationKeywordTags%5B%5D=banking&personTitles%5B%5D=CEO&personTitles%5B%5D=Founder&personTitles%5B%5D=Co-Founder&personTitles%5B%5D=MD&personTitles%5B%5D=Executive%20Director&personTitles%5B%5D=COO&personTitles%5B%5D=Head%20of%20Operations&personTitles%5B%5D=VP%20of%20Operations&personTitles%5B%5D=Director%20of%20Operations&personTitles%5B%5D=CTO&personTitles%5B%5D=CIO&personTitles%5B%5D=Head%20of%20IT&personTitles%5B%5D=VP%20of%20IT&personTitles%5B%5D=Director%20of%20IT&personTitles%5B%5D=Head%20of%20Technology&personTitles%5B%5D=VP%20of%20Technology&personTitles%5B%5D=Director%20of%20Technology&personPastOrganizationIds%5B%5D=615dceed1729ba0001279d86&page=1&recommendationConfigId=6971b750cec10d0001ea762b,Done,,,,,,,,,,,,
Riskpro,2026-03-12,,Done,Ed-tech & Heath-tech,51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, Director of Compliance, Head of Legal, VP of Legal, Director of Legal, Head of Risk, VP of Risk, Director of Risk, Head of IT, Director of IT, VP of IT","Noida, Delhi, Pune, Kolkata, Ahmedabad, Chennai, Hyderabad, Gurgaon, Mumbai, Bengaluru",,,,,,,,
Bhavitech,2026-03-17,,Done,,,,,,,,,,,,
TalentBeacon - Symboisis,2026-03-17,,Done,,,,,,,,,,,,
Sunone - event,2026-03-17,,Done,,,,,,,,,,,,
Parsan,2026-03-17,Shared in sheet,Done,,,,,,,,,,,,
Epinomi 1,2026-03-17,,Done,"Consumer Goods, Food Production, Food Beverages",200 to 1000,"Director of HR, VP of HR, Head of HR, Head of L&D, VP of L&D, Director of L&D, Chief Learning Officer, Head of HR, VP of HR, Director of HR, CHRO, Admin Head, Procurement Head, Training Manager, Learning Manager",India,,,,,,,,
Epinomi cxo,2026-03-17,,Done,"Consumer Goods, Food Production, Food Beverages",200 to 1000,"Director of HR, VP of HR, Head of HR, Head of L&D, VP of L&D, Director of L&D, Chief Learning Officer, Head of HR, VP of HR, Director of HR, CHRO, Admin Head, Procurement Head, Training Manager, Learning Manager",India,,,,,,,,
Hridayam,2026-03-17,Shared on chat,Done,,,,,,,,,,,,
Infinite Solutions,2026-03-17,,Done,"Hospitality, Restuarant",11 to 200,"CEO, Founder, Co-Founder, MD, Executive Director, CFO, Head of Finance, VP of Finance, Director of Finance, Head of Accounts, VP of Accounts, Director of Accounts","New York, Dallas, Boston, Dublin, Vancouver, panama. Chelsea, Kensington",,,,,,,,
Dhrishti - BOA,2026-03-17,"https://app.apollo.io/#/people?contactEmailStatusV2%5B%5D=verified&contactEmailStatusV2%5B%5D=user_managed&sortByField=recommendations_score&sortAscending=false&organizationIndustryTagIds%5B%5D=5567ce9d7369643bc19c0000&organizationIndustryTagIds%5B%5D=5567cd477369645401010000&organizationIndustryTagIds%5B%5D=5567ced173696450cb580000&organizationIndustryTagIds%5B%5D=5567ce237369644ee5490000&organizationIndustryTagIds%5B%5D=5567cdd67369643e64020000&organizationIndustryTagIds%5B%5D=5567cd4973696439b9010000&organizationIndustryTagIds%5B%5D=5567e0bc7369641d11550200&personLocations%5B%5D=South%20Africa&personLocations%5B%5D=Kenya&personLocations%5B%5D=Ghana&personLocations%5B%5D=Dallas&personLocations%5B%5D=Dallas,%20Texas&personLocations%5B%5D=Dallas,%20Georgia&personLocations%5B%5D=Dallas,%20United%20Kingdom&personLocations%5B%5D=San%20Francisco&personLocations%5B%5D=San%20Francisco,%20Colombia&personLocations%5B%5D=India&personLocations%5B%5D=United%20States&personLocations%5B%5D=United%20Kingdom&personTitles%5B%5D=CEO&personTitles%5B%5D=Founder&personTitles%5B%5D=Co-Founder&personTitles%5B%5D=MD&personTitles%5B%5D=Executive%20Director&personTitles%5B%5D=COO&personTitles%5B%5D=Head%20of%20Operations&personTitles%5B%5D=VP%20of%20Operations&personTitles%5B%5D=Director%20of%20Operations&personTitles%5B%5D=CTO&personTitles%5B%5D=CIO&personTitles%5B%5D=Head%20of%20IT&personTitles%5B%5D=VP%20of%20IT&personTitles%5B%5D=Director%20of%20IT&personTitles%5B%5D=Head%20of%20Technology&personTitles%5B%5D=VP%20of%20Technology&personTitles%5B%5D=Director%20of%20Technology&notOrganizationIds%5B%5D=54a12ae269702db648e84202&personPastOrganizationIds%5B%5D=54a12ae269702db648e84202&page=1&recommendationConfigId=6971b750cec10d0001ea762b",Done,,,,,,,,,,,,
Valuemanager,2026-03-17,,Done,"Mechanical & Industrial Engineering, Machinery",251 to 500 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CFO , VP of Engineering, Director of Engineering, Head of Value Engineering, Head of Cost Engineering, Director Product Development, Head of Purchasing",Austria,,,,,,,,
Falcorn CS,2026-03-17,,Done,"Finance, Retail, education",11 to 500,"CEO, Founder, Co-Founder, MD, Executive Director, CFO, Head of Investments, VP of Investments, Director of Investments","Australia, South africa",,,,,,,,
The ensemble,2026-03-17,,Done,,,,,,,,,,,,
Prysoms,2026-03-17,,Done,"Construction, Architecture",11–50,"Founder, Co-Founder, Managing Director, Executive Director, CEO, COO, Head of Operations, VP of Operations, Director of Operations, Head of Design, VP of Design, Director of Design, Chief Design Officer","UK, Singapore, US, Canada, Czech Republic",,,,,,,,
Speedexam,2026-03-17,,Done,Higher education,11 to 1000,"CEO, Founder, Co-founder, Managing Director, Executive Director, Principle, Dean, Head of Department, Head of Operations, Director of Operations, VP of Operations, Academic Head, Director of Academy, CHRO, Learning and Development Officer, Director of Human resource, Head of Human resource, VP of Human resource, VP of Recruitment, Head of Recruitment, Director of Recruitment Head of IT, Director of IT, VP of IT, CTO",India,,,,,,,,
Dinjan,2026-03-17,,Done,"Retail, Hospitality, Real Estate, Education",51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, CHRO","Mumbai, Pune, Chennai, Hyderabad, Bengaluru, Delhi, Noida, Gurugram",,,,,,,,
Notionmin - 4yfn,2026-03-17,https://app.apollo.io/#/people?contactEmailStatusV2[]=verified&personTitles[]=CEO&personTitles[]=Founder&personTitles[]=Co-Founder&personTitles[]=MD&personTitles[]=Executive%20Director&personTitles[]=COO&personTitles[]=CTO&personTitles[]=CIO&personTitles[]=Head%20of%20Operations&personTitles[]=VP%20of%20Operations&personTitles[]=Director%20of%20Operations&personTitles[]=Head%20of%20IT&personTitles[]=VP%20of%20IT&personTitles[]=Director%20of%20IT&personLocations[]=India&sortByField=recommendations_score&sortAscending=false&qOrganizationSearchListId=69b013dc865ea9001122c04e&page=1&recommendationConfigId=6971b750cec10d0001ea762b,Done,,,,,,,,,,,,
Prysoms - AIA Conference on Architecture,2026-03-17,Data not found,Done,,,,,,,,,,,,
maven,2026-03-17,,Done,,,,,,,,,,,,
Vesta,2026-03-17,,Done,,,,,,,,,,,,
Solveease,2026-03-17,,Done,,,,,,,,,,,,
KRR,2026-03-17,,Done,,,,,,,,,,,,
Aliter,2026-03-17,,Done,,,,,,,,,,,,
Nhancesmart,2026-03-17,,Done,,,,,,,,,,,,
mple,2026-03-17,,Done,,,,,,,,,,,,
Phillip Capital,2026-03-17,,Done,,,,,,,,,,,,
Success Booster,2026-03-17,,Done,,,,,,,,,,,,
SKMC,2026-03-17,,Done,,,,,,,,,,,,
Testaing,2026-03-17,,Done,,,,,,,,,,,,
Cloudprism,2026-03-17,,Done,,,,,,,,,,,,
Green Collar,2026-03-17,,Done,,,,,,,,,,,,
Veract,2026-03-17,,Done,,,,,,,,,,,,
Curota.ai,2026-03-17,,Done,,,,,,,,,,,,
Ibyte,2026-03-17,,Done,,,,,,,,,,,,
Shree ganesh,2026-03-17,,Done,,,,,,,,,,,,
Gumtree,2026-03-17,,Done,,,,,,,,,,,,
Maven Profcon,2026-03-17,,Done,,,,,,,,,,,,
Weeloy,2026-03-17,,Done,,,,,,,,,,,,
Ecorework,2026-03-17,,Done,,,,,,,,,,,,
Radiant Global,2026-03-17,,Done,,,,,,,,,,,,
Deccanlogic,2026-03-17,,Done,,,,,,,,,,,,
EstiSource,2026-03-18,,Done,Automotive,51 to 200 employees,"CEO, Founder, Co-Founder, MD, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CFO, Chief Procurement Officer, Head of Procurement, VP of Procurement, Director of Procurement, Head of Sourcing, VP of Sourcing, Director of Sourcing",Pune,,,,,,,,
Frontial - Salesforce,2026-03-18,https://app.apollo.io/#/people?sortByField=recommendations_score&sortAscending=false&page=1&recommendationConfigId=6971b750cec10d0001ea762b&personTitles[]=CEO&personTitles[]=Founder&personTitles[]=Co-Founder&personTitles[]=MD&personTitles[]=Executive%20Director&personTitles[]=COO&personTitles[]=Head%20of%20Operations&personTitles[]=VP%20of%20Operations&personTitles[]=Director%20of%20Operations&personTitles[]=CTO&personTitles[]=CIO&personTitles[]=Head%20of%20IT&personTitles[]=VP%20of%20IT&personTitles[]=Director%20of%20IT&personTitles[]=Head%20of%20Technology&personTitles[]=VP%20of%20Technology&personTitles[]=Director%20of%20Technology&personTitles[]=Operations%20Manager&personTitles[]=IT%20Manager&personTitles[]=managing%20director&personLocations[]=United%20States&personLocations[]=Canada&personLocations[]=Finland&personLocations[]=Czech%20Republic&personLocations[]=United%20Kingdom&organizationNumEmployeesRanges[]=11%2C20&organizationNumEmployeesRanges[]=21%2C50&organizationNumEmployeesRanges[]=51%2C100&organizationNumEmployeesRanges[]=101%2C200&currentlyUsingAnyOfTechnologyUids[]=salesforce&organizationIndustryTagIds[]=5567cd4973696439b9010000&organizationIndustryTagIds[]=5567ce9d7369643bc19c0000&organizationIndustryTagIds[]=5567cdd67369643e64020000&organizationIndustryTagIds[]=5567ced173696450cb580000&organizationIndustryTagIds[]=5567ce987369643b789e0000&organizationIndustryTagIds[]=5567e1947369641ead570000&contactEmailStatusV2[]=verified,Done,,,,,,,,,,,,
Flytxt - South africa,2026-03-18,,Done,"Banking, Financial Services, Insurance",51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, CMO, CBO, Head of Sales, Head of Strategy",South africa,,,,,,,,
Flytxt - Sri lanka,2026-03-18,,Done,"Banking, Financial Services, Insurance",51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, CMO, CBO, Head of Sales, Head of Strategy",Sri lanka,,,,,,,,
Flytxt - Saudia arabia,2026-03-18,,Done,"Banking, Financial Services, Insurance",51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, CMO, CBO, Head of Sales, Head of Strategy",Saudi arabia,,,,,,,,
Flytxt - India,2026-03-18,,Done,"Banking, Financial Services, Insurance",51 to 500 employees,"CEO, Founder, Co-Founder, Managing Director, Executive Director, COO, Head of Operations, VP of Operations, Director of Operations, CTO, CIO, Head of IT, VP of IT, Director of IT, Head of Technology, VP of Technology, Director of Technology, CMO, CBO, Head of Sales, Head of Strategy",India,,,,,,,,
